4100|Chicchimon
4200|Koromon
4300|Tsunomon
4400|Poyomon
4500|Tokomon
4600|Tanemon
4700|Pagumon
4800|Kapurimon
4900|Kuramon
4A00|Puttimon
4B00|Chibomon
4C00|Dorimon
4D00|Calumon
4E00|Gigimon
4F00|Gummymon
5000|Kokomon
5100|Tsumemon
5200|Minomon
5300|Wanyamon
5400|Budmon
5500|Botamon
5600|Sunmon
5700|Moonmon
6100|Monodramon
6200|Agumon
6300|Veemon
6400|Guilmon
6500|Dorumon
6600|Betamon
6700|Gabumon
6800|Patamon
6900|Biyomon
6A00|Palmon
6B00|Tentomon
6C00|Gotsumon
6D00|Otamamon
6E00|Gomamon
6F00|Tapirmon
7000|DemiDevimon
7100|ToyAgumon
7200|Hagurumon
7300|Salamon
7400|Wormmon
7500|Hawkmon
7600|Armadillomon
7700|Terriermon
7800|Lopmon
7900|Renamon
7A00|Impmon
7B00|Keramon
7C00|Falcomon
7D00|Penguinmon
7E00|Goburimon
7F00|Kumamon
8000|Kotemon
8100|Shamamon
8200|SnowGoburimon
8300|Syakomon
8400|SnowAgumon
8500|BlackAgumon
8600|Muchomon
8700|Crabmon
8800|Floramon
8900|Gizamon
8A00|Lalamon
8B00|Aruraumon
8C00|ToyAgumon (Black)
8D00|Tsukaimon
8E00|PawnChessmon (Black)
8F00|Gaomon
9000|Dfalcomon
9100|Kudamon
9200|Kamemon
9300|Dracmon
9400|PawnChessmon (White)
9500|DotAgumon
9600|Kunemon
9700|Mushroomon
9800|Solarmon
9900|Candlemon
9A00|Kokuwamon
9B00|DoKunemon
9C00|Coronamon
9D00|Lunamon
A800|Mekanorimon
A900|Greymon
AA00|Tyrannomon
AB00|Devimon
AC00|Airdramon
AD00|Seadramon
AE00|Numemon
AF00|Kabuterimon
B000|Garurumon
B100|Angemon
B200|Veggiemon
B300|Ogremon
B400|Bakemon
B500|Sukamon
B600|Kokatorimon
B700|Leomon
B800|Kuwagamon
B900|Raremon
BB00|Gekomon
BC00|Tailmon/Gatomon
BD00|Wizardmon
BE00|Togemon
BF00|Guardromon
C000|XVmon/ExVeemon
C100|Stingmon
C200|Birdramon
C300|Ankylomon
C400|Gargomon
C500|Growlmon
C600|Kyubimon
C700|Kurisarimon/Chrysalimon
C800|Saesarmon
C900|Evilmon/Vilemon
CA00|Aquilamon
CB00|Gokimon/Roachmon
CC00|Dinohumon
CD00|Hookmon
